id,salon_id,title,description,menus,treatment_duration,gender_requirement,hair_length_requirement,model_experience_requirement,photo_shoot_requirement,has_reward,reward_details,available_dates,status,is_fully_booked,allow_chat_consultation
"f47ac10b-58cc-4372-a567-0e02b2c3d479","540e705d-5192-4c8d-b3aa-2b44f9ad7930","秋冬トレンドカラーモデル募集","最新の秋冬トレンドカラーの練習モデルを募集します。透明感のある仕上がりを目指します。","{""color"",""treatment""}","120分","female","medium","any","required",true,"施術料金無料、Aujuaトリートメントサービス","[{""date"":""2025-10-20"",""time"":""10:00""},{""date"":""2025-10-21"",""time"":""14:00""}]","active",false,false
"6ba7b810-9dad-11d1-80b4-00c04fd430c8","540e705d-5192-4c8d-b3aa-2b44f9ad7930","メンズカットモデル","スタイリストデビューに向けたメンズカットモデルを募集します。刈り上げスタイル希望。","{""cut""}","60分","male","short","beginner","none",false,"","[{""date"":""2025-10-22"",""times"":[""18:00"",""19:00""]}]","active",false,false
"1b9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4bed","540e705d-5192-4c8d-b3aa-2b44f9ad7930","縮毛矯正モデル（急募）","根本のリタッチ縮毛矯正モデルを探しています。施術時間は長めになりますが、丁寧に施術させていただきます。","{""hair_straightening"",""cut""}","180分","any","long","any","none",true,"施術料金から50%OFF","[{""date"":""2025-10-18"",""time"":""13:00""}]","active",false,false
"2c9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4cff","540e705d-5192-4c8d-b3aa-2b44f9ad7930","デザインパーマモデル","ゆるふわ感のあるパーマスタイルのモデルを募集しています。デジタルパーマの経験がある方歓迎。","{""perm"",""cut"",""treatment""}","150分","female","medium","experienced","required",true,"謝礼3000円","[{""date"":""2025-11-05"",""time"":""11:00""},{""date"":""2025-11-06"",""time"":""11:00""}]","active",false,false
"3d9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4daa","540e705d-5192-4c8d-b3aa-2b44f9ad7930","ボブ・ショートカットモデル","技術向上のため、ばっさりカットさせていただける方を募集します。カウンセリングをしっかり行います。","{""cut""}","90分","female","short","any","required",true,"施術料金無料","[{""date"":""2025-10-30"",""time"":""19:30""}]","active",false,false
"4e9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4eff","f1cdba60-0237-41dc-8d84-3d7d18e697f7","ヘアアレンジモデル","結婚式やパーティー向けのアップスタイルの練習モデルです。30分程度で終わります。","{""hair_set""}","30分","female","long","any","optional",false,"","[{""date"":""2025-10-25"",""times"":[""09:00"",""09:30"",""10:00""]}]","active",false,false
"5f9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4abb","f1cdba60-0237-41dc-8d84-3d7d18e697f7","インナーカラーモデル","耳周りや襟足にアクセントを入れるインナーカラーのモデルを募集。ブリーチ必須です。","{""color""}","120分","any","medium","any","none",true,"施術料金無料","[{""date"":""2025-11-10"",""time"":""15:00""}]","active",false,false
"7a9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4ccc","f1cdba60-0237-41dc-8d84-3d7d18e697f7","【募集終了】白髪染めモデル","ご協力ありがとうございました。定員に達したため募集を終了しました。","{""color"",""treatment""}","90分","female","any","any","none",true,"施術料金無料","[]","closed",true,false
"8b9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4ddd","f1cdba60-0237-41dc-8d84-3d7d18e697f7","サロン撮影モデル","ホットペッパーやSNSに掲載するスタイル写真の撮影モデルを募集します。カットやカラーも無料で施術します。","{""cut"",""color""}","150分","female","medium","experienced","required",true,"謝礼5000円、交通費支給","[{""date"":""2025-10-28"",""time"":""終日""}]","active",false,false
"9c9d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4eee","f1cdba60-0237-41dc-8d84-3d7d18e697f7","ヘッドスパモデル","新導入のヘッドスパマシンの練習モデルです。リラクゼーション効果抜群です。","{""head_spa""}","60分","any","any","beginner","none",true,"施術料金半額","[{""date"":""2025-11-01"",""time"":""14:00""},{""date"":""2025-11-02"",""time"":""16:00""}]","active",false,false
